geo
1;49.02;138.3
2;67.56;48.2
3;68.45;140.65
4;6.06;36.27
5;45.51;75.2
6;6.03;110.66
7;73.86;38.84
8;75.3;19.06
9;58.91;156.05
10;53.22;73.35
11;60.29;94.19
12;86.7;143.6
13;63.08;106.28
14;37.81;106.95
15;24.92;24.08
16;84.02;152.58
17;55.48;76.43
18;19.52;133.9
19;1.91;98.31
20;51.06;95.95
21;84.99;144.14
22;77.38;94.48
23;77.13;1.7
24;26.76;116.22
25;26.51;150.91
26;7.38;28.14
27;4.36;129.89
28;44.67;148.75
29;36.39;123.69
30;1.68;34.39
31;17.37;105.96
32;33.97;53.63
33;60.42;19.67
34;13.19;178.49
35;69.53;96.22
36;85.48;47.96
37;7.99;162.51
38;55.45;44.28
39;26.45;84.95
40;77.56;156.2
41;33.26;59.01
42;20.89;47.83
43;21.42;22.11
44;61.64;163.28
45;68.99;25.65
46;21.77;75.39
47;30.17;118.33
48;65.3;54.52
49;55.79;80.49
50;88.45;147.13
51;75.98;34.93
52;8.86;52.05
53;52.51;135.69
54;4.57;126.56
55;46.07;31.31
56;26.07;130.74
57;66.85;29.06
58;21.6;5.23
59;69.27;40.92
60;36.69;5.9
61;49.89;75.54
62;82.03;106.22
63;57.37;54.23
64;44.21;179.17
65;22.27;108.52
66;10.61;162.19
67;2.66;145.16
68;9.19;32.83
69;89.4;68.59
70;37.82;42.92
71;22.13;16.61
72;72.72;87.54
73;52.47;122.59
74;36.9;101.63
75;85.18;50.49
76;67.22;128.03
77;3.49;155.35
78;57.94;53.54
79;25.12;51.32
80;63.33;51.65
81;46.78;160.65
82;23.18;26.96
83;86.77;77.64
84;10.31;17.43
85;65.39;86.95
86;86.0;162.48
87;37.52;11.27
88;87.85;35.43
89;28.07;151.5
90;9.56;105.43
91;33.78;94.84
92;24.84;15.0
93;46.97;64.68
94;86.33;32.85
95;68.57;85.35
96;47.81;156.81
97;12.31;99.23
98;4.38;96.44
99;55.18;61.78
100;84.57;13.45
